Name,Lat,Lng
"Lamadrid, Tabasco",27.0505964,-101.7932329
"Venustiano Carranza, Veracruz De Ignacio De La Llave",19.1818434,-96.1371248
"Pabellon De Arteaga, Tabasco",22.144474,-102.274822
"La Independencia, Guanajuato",21.0199632,-101.2634842
"Hidalgo, Yucatan",21.0053951,-89.62634159999999
"Aguascalientes, Tlaxcala",21.8847635,-102.3137402
"La Independencia, Nuevo Leon",25.6587204,-100.3175155
"Guerrero, Veracruz De Ignacio De La Llave",18.653852,-96.561658
"Hidalgo, Sinaloa",22.8317744,-105.7791327
"Lamadrid, Morelos",27.047035,-101.796085
"San Jose Independencia, Veracruz De Ignacio De La Llave",18.389239,-96.057722
"Larrainzar, Michoacan De Ocampo",16.8820217,-92.71204159999999
"Mezcalapa, Veracruz De Ignacio De La Llave",18.4602799,-94.79028
"San Jose Independencia, Puebla",18.9762471,-98.2179737
"Jitotol, Veracruz De Ignacio De La Llave",17.0667204,-92.86038239999999
"Juarez, Mexico",31.6903638,-106.4245478
"San Francisco Huehuetlan, Puebla",18.3747771,-98.6937564
"Sabinas, Guerrero",27.8659502,-101.1216384
"Villaflores, Michoacan De Ocampo",19.9126934,-102.0168559
"Calvillo, Sinaloa",21.8468345,-102.7186454
"Juarez, Tabasco",17.8337149,-92.5301621
"Monclova, Nayarit",26.8902347,-101.4398436
"Tapalapa, Mexico",17.1898377,-93.10461409999999
"Aguascalientes, Baja California Sur",21.8983249,-102.2889472
"Jitotol, Puebla",17.0667204,-92.86038239999999
"Ocozocoautla De Espinosa, Hidalgo",16.7505846,-93.37290449999999
"Huitiupan, Oaxaca",17.1705587,-92.6853429
"San Buenaventura, Coahuila De Zaragoza",27.0554305,-101.5441455
"Sabinas, Chihuahua",27.8647835,-101.1334267
"Marques De Comillas, Puebla",16.2642157,-90.6210256
"San Juan Cancuc, Michoacan De Ocampo",16.8919079,-92.37078460000001
"Ocampo, Hidalgo",20.2040455,-98.5754259
"San Pedro Ixtlahuaca, Oaxaca",17.0627408,-96.81600499999999
"Maravilla Tenejapa, Oaxaca",16.1409664,-91.2927151
"Nadadores, Coahuila De Zaragoza",27.0253414,-101.5922319
"Tepezala, Nuevo Leon",22.2241419,-102.1738022
"Rincon De Romos, Coahuila De Zaragoza",22.2289132,-102.3206187
"Palenque, Hidalgo",20.0620288,-98.7811349
"Tepezala, Coahuila De Zaragoza",22.2241419,-102.1738022
"Tzimol, Yucatan",16.1822673,-92.1845482
"Pabellon De Arteaga, Nayarit",22.144474,-102.274822
"Pantepec, Mexico",20.5200163,-97.9388566
"Sabinas, Coahuila De Zaragoza",27.8647835,-101.1334267
"Zaragoza, Guerrero",17.9202777,-101.3236111
"Marques De Comillas, Veracruz De Ignacio De La Llave",16.2642157,-90.6210256
"Juarez, Chiapas",17.6069855,-93.19248499999999
"Solosuchiapa, Oaxaca",17.4297762,-93.0355476
"La Libertad, Tlaxcala",19.1898468,-97.9259208
"San Jose De Gracia, Guerrero",18.642789,-97.8473549
"Ocosingo, Guerrero",16.9087202,-92.0943704
"San Andres Duraznal, Veracruz De Ignacio De La Llave",17.1328015,-92.80475039999999
"Sabanilla, Hidalgo",20.5794444,-99.1338888
"San Lucas, Mexico",22.8905327,-109.9167371
"Rincon De Romos, Nayarit",22.2289132,-102.3206187
"Progreso, Guanajuato",20.3735465,-101.0683472
"San Pedro Mixtepec, Oaxaca",15.9799244,-97.0794263
"Aguascalientes, Chihuahua",28.6546446,-106.0697273
"San Jose Chiltepec, Oaxaca",17.9552317,-96.1561301
"Ixtapa, Nuevo Leon",17.6625661,-101.58734
"San Pedro, Oaxaca",16.7427935,-96.71060349999999
"Ixtapa, Mexico",17.6625661,-101.58734
"Nava, Mexico",28.4212302,-100.7638814
"Cosio, Morelos",22.8522799,-102.6153056
"Ostuacan, Chihuahua",28.7183224,-106.1480844
"Palenque, Mexico",17.5109792,-91.9930466
"Monclova, Guerrero",26.9074827,-101.4033995
"Sierra Mojada, Tlaxcala",27.2906955,-103.7014059
"Ocampo, Mexico",27.3156234,-102.3965211
"Ixtacomitan, San Luis Potosi",17.4295464,-93.0973264
"Ocampo, Michoacan De Ocampo",19.5832047,-100.3396012
"Cosio, Coahuila De Zaragoza",22.3656529,-102.2997344
"San Juan Lachao, Puebla",16.1577714,-97.12446159999999
"Sitala, Hidalgo",17.0244122,-92.3058451
"Huixtla, Mexico",15.137663,-92.46591889999999
"Pantelho, Guerrero",17.0050996,-92.46906919999999
"San Francisco Ozolotepec, Puebla",19.0414398,-98.2062727
"Mazatan, Veracruz De Ignacio De La Llave",14.8645935,-92.4480536
"Sunuapa, Michoacan De Ocampo",17.4901243,-93.2423498
"San Jose De Gracia, Durango",24.4769359,-104.741286
"Villa Union, Hidalgo",28.2205737,-100.7251363
"Pabellon De Arteaga, Quintana Roo",22.1413128,-102.2739079
"Jesus Maria, Morelos",29.1068684,-110.9680288
"Zaragoza, Mexico",28.4943597,-100.9185477
"San Juan Mazatlan, Veracruz De Ignacio De La Llave",17.0268039,-95.4396084
"San Jose De Gracia, Aguascalientes",22.1475929,-102.4129804
"Villa Comaltitlan, Puebla",15.2127239,-92.57623459999999
"Heroica Ciudad De Tlaxiaco, Oaxaca",17.268751,-97.67962899999999
"Ocosingo, Hidalgo",16.9087202,-92.0943704
"Pichucalco, Guerrero",17.511472,-93.11023449999999
"Motozintla, Hidalgo",15.3725483,-92.2399653
"Huixtla, Chiapas",15.137663,-92.46591889999999
"Ixhuatan, Tlaxcala",19.3139243,-98.2404397
"San Juan Guelavia, Puebla",16.9544217,-96.5441635
"Las Margaritas, Yucatan",21.0356516,-89.5743992
"San Juan De Sabinas, Coahuila De Zaragoza",27.9270787,-101.3023954
"Villaflores, Veracruz De Ignacio De La Llave",18.4311543,-95.1187787
"Morelos, Michoacan De Ocampo",20.0026801,-101.4128091
"San Felipe Jalapa De Diaz, Veracruz De Ignacio De La Llave",18.069931,-96.535417
"Asientos, Guanajuato",21.0190145,-101.2573586
